メニュー,platform,external_id,video_url,video_id,動画URL,投稿者,時間,食材,味,油感,特徴,詳細食材タグ,ingredient_categories,temperature,effort,dishes,knife,heat,thumbnail_url,ingredient_score,richness_score,taste_level
【一人暮らし】狭いキッチンで10品爆誕させる👩🏻‍🍳保存期間も紹介してます🫶 #一人暮らし #節約レシピ,youtube,Zm8DNCPPmQY,https://www.youtube.com/watch?v=Zm8DNCPPmQY,Zm8DNCPPmQY,https://www.youtube.com/watch?v=Zm8DNCPPmQY,うりよ | ズボラ社会人,normal,白身魚,light,2,YouTube Data API収集,whitefish,魚介,warm,3,2,false,true,https://i.ytimg.com/vi/Zm8DNCPPmQY/maxresdefault.jpg,4.0,4.1,あっさり
食費1ヶ月1万円の一人暮らしごはん【1週間分紹介】 /Weekly Cooking,youtube,Zl_MvEZIS5k,https://www.youtube.com/watch?v=Zl_MvEZIS5k,Zl_MvEZIS5k,https://www.youtube.com/watch?v=Zl_MvEZIS5k,りんのおうちごはん,normal,卵,semi-light,2,YouTube Data API収集,egg,卵,warm,3,2,false,true,https://i.ytimg.com/vi/Zl_MvEZIS5k/maxresdefault.jpg,5.0,4.7,ややあっさり
【 食費月一万円 】節約ごはんを楽しむ一人暮らし社会人のごはん記録 / 野菜保存法🥕 / おにぎり大量ストック🍙🧡,youtube,yQD28fALc0s,https://www.youtube.com/watch?v=yQD28fALc0s,yQD28fALc0s,https://www.youtube.com/watch?v=yQD28fALc0s,shiroのくらし,normal,豚肉、サケ、白身魚、ツナ、厚揚げ、卵、ご飯・米、ほうれん草、コーン缶、昆布、ショウガ、バター,rich,4,YouTube Data API収集,"pork,salmon,whitefish,canned_tuna,atsuage,egg,rice,spinach,corn,kombu,ginger,butter",肉類;魚介;豆腐・大豆系;卵;米;葉物野菜;根菜;チーズ・バター・マヨ系,warm,4,3,true,true,https://i.ytimg.com/vi/yQD28fALc0s/maxresdefault.jpg,6.5,6.8,がっつり
\ 炊飯器に入れるだけ / 鶏ももバター醤油ご飯 ↓↓↓ レシピの詳細はコメントから #レシピ #簡単レシピ #炊飯器レシピ,youtube,Pd8UtlEWCfU,https://www.youtube.com/watch?v=Pd8UtlEWCfU,Pd8UtlEWCfU,https://www.youtube.com/watch?v=Pd8UtlEWCfU,さしみ@引きこもり飯,normal,鶏肉、バター,rich,4,YouTube Data API収集,"chicken,butter",鶏肉;チーズ・バター・マヨ系,warm,3,2,true,true,https://i.ytimg.com/vi/Pd8UtlEWCfU/maxresdefault.jpg,8.6,8.06,がっつり
\常備して10kg痩せた/時短味噌汁#ダイエット #ダイエットレシピ #ヘルシーレシピ,youtube,Ys4fWugC73I,https://www.youtube.com/watch?v=Ys4fWugC73I,Ys4fWugC73I,https://www.youtube.com/watch?v=Ys4fWugC73I,chiaki_beautydiet,normal,えび、キャベツ、わかめ,light,2,YouTube Data API収集,"shrimp,cabbage,wakame",魚介;葉物野菜,warm,3,2,true,true,https://i.ytimg.com/vi/Ys4fWugC73I/maxresdefault.jpg,2.95,3.47,あっさり
【1食186円】無限豚こま南蛮弁当,youtube,uLNFTwzW4dw,https://www.youtube.com/watch?v=uLNFTwzW4dw,uLNFTwzW4dw,https://www.youtube.com/watch?v=uLNFTwzW4dw,えい | 1食200円以下の冷凍弁当ストック,normal,豚肉,semi-rich,2,YouTube Data API収集,pork,肉類,warm,3,2,true,true,https://i.ytimg.com/vi/uLNFTwzW4dw/maxresdefault.jpg,8.0,6.5,ややがっつり
箸がとまらない無限鶏むね肉！！ #おつまみレシピ #簡単レシピ #主婦 #おうち居酒屋,youtube,_Z2G1Xu1bMA,https://www.youtube.com/watch?v=_Z2G1Xu1bMA,_Z2G1Xu1bMA,https://www.youtube.com/watch?v=_Z2G1Xu1bMA,いそじま夫婦のお酒と料理チャンネル,normal,鶏肉,semi-rich,2,YouTube Data API収集,chicken,鶏肉,warm,3,2,true,true,https://i.ytimg.com/vi/_Z2G1Xu1bMA/maxresdefault.jpg,6.0,5.3,ややがっつり
＼ヘルシー豆腐グラタン／ #レンジレシピ #高タンパクレシピ #簡単レシピ #一人暮らしレシピ #豆腐レシピ,youtube,Act9XQZgEHs,https://www.youtube.com/watch?v=Act9XQZgEHs,Act9XQZgEHs,https://www.youtube.com/watch?v=Act9XQZgEHs,のあ【40代独身オタクのレンチン飯】,normal,豆腐,light,2,YouTube Data API収集,tofu,豆腐・大豆系,warm,3,2,false,true,https://i.ytimg.com/vi/Act9XQZgEHs/maxresdefault.jpg,3.0,3.5,あっさり
㊗️100万再生 10分で作れる、とても美味しいチャーハン,youtube,o6svdV4E8dw,https://www.youtube.com/watch?v=o6svdV4E8dw,o6svdV4E8dw,https://www.youtube.com/watch?v=o6svdV4E8dw,家政夫ミツキの10分作りおき,easy,ご飯・米,semi-rich,3,YouTube Data API収集,rice,米,warm,3,2,false,true,https://i.ytimg.com/vi/o6svdV4E8dw/maxresdefault.jpg,6.0,5.9,ややがっつり
【1、5、10年目】一人暮らし男の自炊あるある,youtube,9Ib-cqHiWh8,https://www.youtube.com/watch?v=9Ib-cqHiWh8,9Ib-cqHiWh8,https://www.youtube.com/watch?v=9Ib-cqHiWh8,孤独の厨,normal,牛肉、うどん、パスタ、にんにく,semi-rich,2,YouTube Data API収集,"beef,udon,pasta,garlic",肉類;麺;根菜,warm,3,2,true,true,https://i.ytimg.com/vi/9Ib-cqHiWh8/maxresdefault.jpg,6.37,5.52,ややがっつり
【冷凍ストック5日分】豚キムチうどん,youtube,nv07iauxTZs,https://www.youtube.com/watch?v=nv07iauxTZs,nv07iauxTZs,https://www.youtube.com/watch?v=nv07iauxTZs,れこちゃんねる,easy,豚肉、白身魚、卵、うどん、ビーフン・フォー、もやし,semi-light,2,YouTube Data API収集,"pork,whitefish,egg,udon,rice_noodles,bean_sprouts",肉類;魚介;卵;麺;葉物野菜,cold,3,2,true,true,https://i.ytimg.com/vi/nv07iauxTZs/maxresdefault.jpg,5.76,5.16,ややあっさり
イオン系スーパーまいばすけっとで2500円分爆買い🛒トップバリュー商品で絶対真似できるアレンジレシピも㊙️,youtube,hLF11viS9t8,https://www.youtube.com/watch?v=hLF11viS9t8,hLF11viS9t8,https://www.youtube.com/watch?v=hLF11viS9t8,りんのおうちごはん,normal,卵,semi-light,2,YouTube Data API収集,egg,卵,warm,3,2,false,true,https://i.ytimg.com/vi/hLF11viS9t8/maxresdefault.jpg,5.0,4.7,ややあっさり
👛一人前60円🧊冷凍ストック【フレンチトースト】,youtube,gYBddnXA2bU,https://www.youtube.com/watch?v=gYBddnXA2bU,gYBddnXA2bU,https://www.youtube.com/watch?v=gYBddnXA2bU,ふに,normal,パン,semi-rich,2,YouTube Data API収集,bread,米,cold,3,2,false,true,https://i.ytimg.com/vi/gYBddnXA2bU/maxresdefault.jpg,6.0,5.3,ややがっつり
カチコチ冷凍のまま作れる【激うま鶏むねチャーシュー】,youtube,klcd3W9kg64,https://www.youtube.com/watch?v=klcd3W9kg64,klcd3W9kg64,https://www.youtube.com/watch?v=klcd3W9kg64,きい┆-6kg ‣‣ 綺麗に痩せる鶏むね肉レシピ𓎩,easy,鶏肉、白身魚、卵、ショウガ、にんにく,light,2,YouTube Data API収集,"chicken,whitefish,egg,ginger,garlic",鶏肉;魚介;卵;根菜,cold,3,2,true,true,https://i.ytimg.com/vi/klcd3W9kg64/maxresdefault.jpg,4.95,4.67,あっさり
【ワンパン15分】鮭のクリーム煮 #ワンパンレシピ #ワーママ,youtube,k5OgHdRCkvQ,https://www.youtube.com/watch?v=k5OgHdRCkvQ,k5OgHdRCkvQ,https://www.youtube.com/watch?v=k5OgHdRCkvQ,みこ ⌇ずぼらママの簡単ワンプレートご飯,easy,サケ、白身魚、えび、ほうれん草、ネギ、ピーマン、ブロッコリー、玉ねぎ、しめじ、にんにく、バター、牛乳、小麦粉,semi-rich,4,YouTube Data API収集,"salmon,whitefish,shrimp,spinach,green_onion,bell_pepper,broccoli,onion,shimeji,garlic,butter,milk,flour",魚介;葉物野菜;根菜;きのこ;チーズ・バター・マヨ系;米,warm,4,3,true,true,https://i.ytimg.com/vi/k5OgHdRCkvQ/maxresdefault.jpg,6.03,6.42,ややがっつり
節約チーズケーキ🍰#節約レシピ #自炊記録 #一人暮らし,youtube,RJ4nNpdPxQo,https://www.youtube.com/watch?v=RJ4nNpdPxQo,RJ4nNpdPxQo,https://www.youtube.com/watch?v=RJ4nNpdPxQo,うりよ | ズボラ社会人,normal,チーズ,rich,4,YouTube Data API収集,cheese,チーズ・バター・マヨ系,warm,3,2,false,true,https://i.ytimg.com/vi/RJ4nNpdPxQo/maxresdefault.jpg,10.0,8.9,がっつり
材料２つ！一人暮らしの節約ツナ缶うどん！#節約料理 #節約 #節約飯 #簡単レシピ,youtube,lBOJ_JCbH0w,https://www.youtube.com/watch?v=lBOJ_JCbH0w,lBOJ_JCbH0w,https://www.youtube.com/watch?v=lBOJ_JCbH0w,引きこもりの節約レシピ,easy,ツナ、うどん,semi-light,2,YouTube Data API収集,"canned_tuna,udon",魚介;麺,warm,3,2,false,true,https://i.ytimg.com/vi/lBOJ_JCbH0w/maxresdefault.jpg,5.3,4.88,ややあっさり
＼やみつきコクマヨ／ソーセージパスタ🍝 #レンジレシピ #簡単レシピ #一人暮らしレシピ #パスタレシピ #レンチンレシピ #ズボラレシピ #高タンパク質メニュー,youtube,_3tevJRxzv8,https://www.youtube.com/watch?v=_3tevJRxzv8,_3tevJRxzv8,https://www.youtube.com/watch?v=_3tevJRxzv8,のあ【40代独身オタクのレンチン飯】,normal,パスタ、マヨネーズ,rich,4,YouTube Data API収集,"pasta,mayonnaise",麺;チーズ・バター・マヨ系,warm,3,2,false,true,https://i.ytimg.com/vi/_3tevJRxzv8/maxresdefault.jpg,8.6,8.06,がっつり
親子丼レシピはこれだけでいい！究極の親子丼レシピ #簡単レシピ #親子丼,youtube,pyuR674BEvg,https://www.youtube.com/watch?v=pyuR674BEvg,pyuR674BEvg,https://www.youtube.com/watch?v=pyuR674BEvg,ちぇる ダイエット食堂,easy,ご飯・米,semi-light,2,YouTube Data API収集,rice,米,warm,1,1,false,true,https://i.ytimg.com/vi/pyuR674BEvg/maxresdefault.jpg,6.0,5.1,ややあっさり
一度に作って大量冷凍！忙しくても手間なしで野菜＆たんぱく質がとれる【一人鍋冷凍セット】基本のストックとアレンジレシピ5選,youtube,t73GhEe2ddg,https://www.youtube.com/watch?v=t73GhEe2ddg,t73GhEe2ddg,https://www.youtube.com/watch?v=t73GhEe2ddg,おすぎ(管理栄養士),normal,鶏肉、挽肉、白身魚、キャベツ、トマト、にんじん、かぼちゃ、レンコン、しめじ、チーズ、バター、カレールゥ,rich,4,YouTube Data API収集,"chicken,minced_meat,whitefish,cabbage,tomato,carrot,pumpkin,lotus_root,shimeji,cheese,butter,curry_roux",鶏肉;肉類;魚介;葉物野菜;根菜;きのこ;チーズ・バター・マヨ系,cold,4,3,true,true,https://i.ytimg.com/vi/t73GhEe2ddg/maxresdefault.jpg,6.4,6.74,がっつり
食費８万を辞めたら#節約主婦#簡単レシピ#貯金,youtube,yD8bmes2pj0,https://www.youtube.com/watch?v=yD8bmes2pj0,yD8bmes2pj0,https://www.youtube.com/watch?v=yD8bmes2pj0,ヒナマル,normal,白身魚,light,2,YouTube Data API収集,whitefish,魚介,warm,3,2,false,true,https://i.ytimg.com/vi/yD8bmes2pj0/maxresdefault.jpg,4.0,4.1,あっさり
仕事の日でも料理を楽しむ｜一人暮らし会社員の平日ごはん,youtube,ZSYuG3WNFQA,https://www.youtube.com/watch?v=ZSYuG3WNFQA,ZSYuG3WNFQA,https://www.youtube.com/watch?v=ZSYuG3WNFQA,しゅんの節約生活,normal,サケ、卵、チーズ、マヨネーズ,rich,4,YouTube Data API収集,"salmon,egg,cheese,mayonnaise",魚介;卵;チーズ・バター・マヨ系,warm,3,2,false,true,https://i.ytimg.com/vi/ZSYuG3WNFQA/maxresdefault.jpg,7.43,7.36,がっつり
【簡単レシピ】炊飯器に入れるだけウインナーチャーハン！!#炊飯器レシピ,youtube,pPto4YkvyBQ,https://www.youtube.com/watch?v=pPto4YkvyBQ,pPto4YkvyBQ,https://www.youtube.com/watch?v=pPto4YkvyBQ,暇人クッキング【簡単レシピ】,normal,ご飯・米,semi-rich,3,YouTube Data API収集,rice,米,warm,3,2,false,true,https://i.ytimg.com/vi/pPto4YkvyBQ/maxresdefault.jpg,6.0,5.8,ややがっつり
【2ch有益スレ】一人暮らしのワイにガチ簡単な料理教えてクレメンスｗ【ゆっくり解説】,youtube,DN6mKlflhMo,https://www.youtube.com/watch?v=DN6mKlflhMo,DN6mKlflhMo,https://www.youtube.com/watch?v=DN6mKlflhMo,2ch有益ライハまとめ【ゆっくり解説】,normal,鶏肉、白身魚、うどん、パスタ、トマト、コーン缶、昆布、にんにく,light,2,YouTube Data API収集,"chicken,whitefish,udon,pasta,tomato,corn,kombu,garlic",鶏肉;魚介;麺;葉物野菜;根菜,warm,4,3,true,true,https://i.ytimg.com/vi/DN6mKlflhMo/maxresdefault.jpg,4.6,4.46,あっさり
【ズボラ飯】帰宅後4分で作る一人暮らしのやっつけ簡単料理【うどん】,youtube,xZx1xLkI2dc,https://www.youtube.com/watch?v=xZx1xLkI2dc,xZx1xLkI2dc,https://www.youtube.com/watch?v=xZx1xLkI2dc,ichi's life,easy,うどん,semi-rich,2,YouTube Data API収集,udon,麺,warm,3,2,false,true,https://i.ytimg.com/vi/xZx1xLkI2dc/maxresdefault.jpg,6.0,5.3,ややがっつり
👛1枚80円以下！1週間分の朝ごはん☀️【冷凍トースト】,youtube,oa9Y63nZ9wE,https://www.youtube.com/watch?v=oa9Y63nZ9wE,oa9Y63nZ9wE,https://www.youtube.com/watch?v=oa9Y63nZ9wE,ふに,normal,パン,semi-rich,2,YouTube Data API収集,bread,米,cold,3,2,false,true,https://i.ytimg.com/vi/oa9Y63nZ9wE/maxresdefault.jpg,6.0,5.3,ややがっつり
簡単カルボナーラうどん#自炊女子 #簡単料理レシピ #カルボナーラうどん #ダイエット中の食事 #ダイエット飯 #綺麗になる食事 #自炊生活 #自炊ダイエット #ヘルシーご飯,youtube,vneiN6uLUSQ,https://www.youtube.com/watch?v=vneiN6uLUSQ,vneiN6uLUSQ,https://www.youtube.com/watch?v=vneiN6uLUSQ,yu┊︎褒められ簡単ごはん,easy,うどん、パスタ,semi-light,2,YouTube Data API収集,"udon,pasta",麺,warm,3,2,false,true,https://i.ytimg.com/vi/vneiN6uLUSQ/maxresdefault.jpg,6.0,5.2,ややあっさり
【節約】新生活お弁当始まり🌸一人暮らし社会人の節約を楽しむ自炊記録👩‍🦰⌇春キャベツレシピ🥬,youtube,2xIbZNoKskk,https://www.youtube.com/watch?v=2xIbZNoKskk,2xIbZNoKskk,https://www.youtube.com/watch?v=2xIbZNoKskk,shiroのくらし,normal,豚肉、白身魚、豆腐、卵、キャベツ、もやし、マヨネーズ,rich,4,YouTube Data API収集,"pork,whitefish,tofu,egg,cabbage,bean_sprouts,mayonnaise",肉類;魚介;豆腐・大豆系;卵;葉物野菜;チーズ・バター・マヨ系,warm,4,3,true,true,https://i.ytimg.com/vi/2xIbZNoKskk/maxresdefault.jpg,6.62,6.87,がっつり
おかずにもなる豚汁の作り方,youtube,b-fNmdfzHl4,https://www.youtube.com/watch?v=b-fNmdfzHl4,b-fNmdfzHl4,https://www.youtube.com/watch?v=b-fNmdfzHl4,をにぎらー,normal,ネギ、じゃが芋、玉ねぎ、にんじん、しいたけ,light,2,YouTube Data API収集,"green_onion,potato,onion,carrot,shiitake",葉物野菜;根菜;きのこ,warm,3,2,true,true,https://i.ytimg.com/vi/b-fNmdfzHl4/maxresdefault.jpg,2.3,3.08,あっさり
【手取り18万円上京OL】ほぼ150円弁当#自炊 #お弁当 #料理 #一人暮らし #簡単 #節約 #cooking #弁当 #lunchbox,youtube,GvyIueDy9AY,https://www.youtube.com/watch?v=GvyIueDy9AY,GvyIueDy9AY,https://www.youtube.com/watch?v=GvyIueDy9AY,みぃ | 手取り19万円上京OL,normal,鶏肉、卵、ブロッコリー,light,2,YouTube Data API収集,"chicken,egg,broccoli",鶏肉;卵;葉物野菜,warm,3,2,true,true,https://i.ytimg.com/vi/GvyIueDy9AY/maxresdefault.jpg,4.6,4.46,あっさり
貧乏！具なしわさびパスタ！疲れててもお金はなるべく使いたくない🤦‍♀️#ブラック企業 #料理 #cooking #vlog #ol日常 #ルーティン #レンチンレシピ #一人暮らし,youtube,xdpemJTKpWs,https://www.youtube.com/watch?v=xdpemJTKpWs,xdpemJTKpWs,https://www.youtube.com/watch?v=xdpemJTKpWs,ななOL簡単ご飯,normal,パスタ,semi-rich,3,YouTube Data API収集,pasta,麺,warm,3,2,false,true,https://i.ytimg.com/vi/xdpemJTKpWs/maxresdefault.jpg,6.0,5.8,ややがっつり
一人暮らしの3日間★簡単夜ご飯 #2/料理vlog / 会社員 /簡単レシピ,youtube,-wTMJvL-nX0,https://www.youtube.com/watch?v=-wTMJvL-nX0,-wTMJvL-nX0,https://www.youtube.com/watch?v=-wTMJvL-nX0,*くまねこの暮らし* 〜むりをしない〜,normal,豚肉、豆腐、キャベツ、なす,semi-light,2,YouTube Data API収集,"pork,tofu,cabbage,eggplant",肉類;豆腐・大豆系;葉物野菜,warm,3,2,true,true,https://i.ytimg.com/vi/-wTMJvL-nX0/maxresdefault.jpg,5.2,4.82,ややあっさり
赤から風ラーメン#簡単レシピ #節約レシピ#一人暮らし#冷凍ストック #赤から,youtube,CXc0vA-hHh8,https://www.youtube.com/watch?v=CXc0vA-hHh8,CXc0vA-hHh8,https://www.youtube.com/watch?v=CXc0vA-hHh8,けい 1食300円以下の節約冷凍レシピ,easy,豚肉、白身魚、中華麺、ラーメン,semi-rich,2,YouTube Data API収集,"pork,whitefish,noodles,ramen",肉類;魚介;麺,cold,3,2,true,true,https://i.ytimg.com/vi/CXc0vA-hHh8/maxresdefault.jpg,6.6,5.66,ややがっつり
【手取り18万円上京OL】ほぼ150円弁当#自炊 #料理 #一人暮らし #簡単 #節約 #cooking #弁当 #lunch,youtube,6WJFWM-8Sc4,https://www.youtube.com/watch?v=6WJFWM-8Sc4,6WJFWM-8Sc4,https://www.youtube.com/watch?v=6WJFWM-8Sc4,みぃ | 手取り19万円上京OL,normal,厚揚げ、卵、トマト、ブロッコリー,light,2,YouTube Data API収集,"atsuage,egg,tomato,broccoli",豆腐・大豆系;卵;葉物野菜,warm,3,2,true,true,https://i.ytimg.com/vi/6WJFWM-8Sc4/maxresdefault.jpg,3.6,3.86,あっさり
熱々あんかけ焼きそば🍜#節約レシピ #やきそば #あんかけ焼きそば #一人暮らしごはん #cooking #料理#男飯 #料理男子,youtube,zhIS6j8ex3I,https://www.youtube.com/watch?v=zhIS6j8ex3I,zhIS6j8ex3I,https://www.youtube.com/watch?v=zhIS6j8ex3I,しゅう | 22時からつくる節約レシピ,easy,そば、中華麺,semi-rich,3,YouTube Data API収集,"soba,noodles",麺,warm,3,2,false,true,https://i.ytimg.com/vi/zhIS6j8ex3I/maxresdefault.jpg,6.0,5.9,ややがっつり
#チーズケーキ #スイーツ #一人暮らし #料理 #自炊 #cooking #丁寧な暮らし #晩ごはん #ごはん #コーヒー #おうちごはん #vlog #簡単レシピ #イタリアン #和食 #日常,youtube,Jy92rfwEvCg,https://www.youtube.com/watch?v=Jy92rfwEvCg,Jy92rfwEvCg,https://www.youtube.com/watch?v=Jy92rfwEvCg,一人暮らしの日々のごはん,normal,チーズ,rich,4,YouTube Data API収集,cheese,チーズ・バター・マヨ系,warm,3,2,false,true,https://i.ytimg.com/vi/Jy92rfwEvCg/maxresdefault.jpg,10.0,8.9,がっつり
豚キムチうどん#冷凍ストック #時短節約 #節約レシピ #一人暮らし#豚キムチ,youtube,c8RusQKw94E,https://www.youtube.com/watch?v=c8RusQKw94E,c8RusQKw94E,https://www.youtube.com/watch?v=c8RusQKw94E,けい 1食300円以下の節約冷凍レシピ,easy,豚肉、白身魚、うどん、ネギ,semi-light,2,YouTube Data API収集,"pork,whitefish,udon,green_onion",肉類;魚介;麺;葉物野菜,cold,3,2,true,true,https://i.ytimg.com/vi/c8RusQKw94E/maxresdefault.jpg,5.72,5.13,ややあっさり
しらすぺぺたま🍝 #節約レシピ #cooking #時短節約 #japanesefood #一人暮らしごはん #パスタ #暮らしチャンネル #簡単レシピ #ぺぺたま#料理 #料理男子,youtube,N50zTOJwf9w,https://www.youtube.com/watch?v=N50zTOJwf9w,N50zTOJwf9w,https://www.youtube.com/watch?v=N50zTOJwf9w,しゅう | 22時からつくる節約レシピ,normal,パスタ,semi-rich,3,YouTube Data API収集,pasta,麺,warm,3,2,false,true,https://i.ytimg.com/vi/N50zTOJwf9w/maxresdefault.jpg,6.0,5.9,ややがっつり
【節約】一人暮らしのラクする大量おにぎりストック🍙 柔らかむね肉の節約おかず🍗💕,youtube,WyLZsPgZbpE,https://www.youtube.com/watch?v=WyLZsPgZbpE,WyLZsPgZbpE,https://www.youtube.com/watch?v=WyLZsPgZbpE,shiroのくらし,easy,サバ、白身魚、ご飯・米、ショウガ,light,2,YouTube Data API収集,"mackerel,whitefish,rice,ginger",魚介;米;根菜,warm,3,2,false,true,https://i.ytimg.com/vi/WyLZsPgZbpE/maxresdefault.jpg,4.83,4.6,あっさり
【ミルフィーユ鍋の作り方】一人暮らし男の料理 / 簡単一人鍋レシピ,youtube,Mc-VuDydg-M,https://www.youtube.com/watch?v=Mc-VuDydg-M,Mc-VuDydg-M,https://www.youtube.com/watch?v=Mc-VuDydg-M,TOKYO COOKIG CLUB,normal,豚肉、白身魚、napa_cabbage、ショウガ、にんにく,semi-light,2,YouTube Data API収集,"pork,whitefish,napa_cabbage,ginger,garlic",肉類;魚介;葉物野菜;根菜,warm,3,2,true,true,https://i.ytimg.com/vi/Mc-VuDydg-M/maxresdefault.jpg,5.2,4.82,ややあっさり
とまとチキンパエリア🥘#節約レシピ #一人暮らしごはん #時短節約 #cooking #料理 #パエリア 📝レシピ詳細はInstagram本文に掲載しております🙇‍♂️,youtube,alLyfoPCy2A,https://www.youtube.com/watch?v=alLyfoPCy2A,alLyfoPCy2A,https://www.youtube.com/watch?v=alLyfoPCy2A,しゅう | 22時からつくる節約レシピ,normal,鶏肉,semi-rich,2,YouTube Data API収集,chicken,鶏肉,warm,3,2,true,true,https://i.ytimg.com/vi/alLyfoPCy2A/maxresdefault.jpg,6.0,5.3,ややがっつり
【週2000円】節約おうちごはんを楽しむ一人暮らし👩‍🦰 / 野菜長持ち保存🥕 / かさ増しスコッチエッグ🐣💞,youtube,VqqVlMtWx7M,https://www.youtube.com/watch?v=VqqVlMtWx7M,VqqVlMtWx7M,https://www.youtube.com/watch?v=VqqVlMtWx7M,shiroのくらし,easy,鶏肉、白身魚、卵、ネギ、玉ねぎ、にんにく、マヨネーズ,rich,4,YouTube Data API収集,"chicken,whitefish,egg,green_onion,onion,garlic,mayonnaise",鶏肉;魚介;卵;葉物野菜;根菜;チーズ・バター・マヨ系,warm,4,3,true,true,https://i.ytimg.com/vi/VqqVlMtWx7M/maxresdefault.jpg,6.38,6.73,がっつり
コク旨カレーうどん#冷凍ストック #節約レシピ #簡単レシピ#一人暮らし#カレーうどん,youtube,-D62jEzIBEM,https://www.youtube.com/watch?v=-D62jEzIBEM,-D62jEzIBEM,https://www.youtube.com/watch?v=-D62jEzIBEM,けい 1食300円以下の節約冷凍レシピ,easy,豚肉、白身魚、油揚げ、うどん、キャベツ、ネギ,semi-light,2,YouTube Data API収集,"pork,whitefish,aburaage,udon,cabbage,green_onion",肉類;魚介;豆腐・大豆系;麺;葉物野菜,cold,3,2,true,true,https://i.ytimg.com/vi/-D62jEzIBEM/maxresdefault.jpg,5.48,4.99,ややあっさり
炊飯器に丸投げ！トマトチキンライス🍅🍚残りはおにぎりにしてお昼ご飯の節約🫶 #ブラック企業 #料理 #cooking #自炊 #vlog #炊飯器レシピ,youtube,2wapdVaCRdw,https://www.youtube.com/watch?v=2wapdVaCRdw,2wapdVaCRdw,https://www.youtube.com/watch?v=2wapdVaCRdw,ななOL簡単ご飯,normal,鶏肉、ご飯・米、トマト,light,2,YouTube Data API収集,"chicken,rice,tomato",鶏肉;米;葉物野菜,warm,3,2,true,true,https://i.ytimg.com/vi/2wapdVaCRdw/maxresdefault.jpg,4.83,4.5,あっさり
休日は贅沢にたっぷりお肉を使う！！ボロネーゼ🍝#ol日常 #料理 #cooking #自炊 #簡単レシピ #vlog #パスタ #レンチンレシピ,youtube,DrFfaqFtTq8,https://www.youtube.com/watch?v=DrFfaqFtTq8,DrFfaqFtTq8,https://www.youtube.com/watch?v=DrFfaqFtTq8,ななOL簡単ご飯,normal,パスタ,semi-rich,3,YouTube Data API収集,pasta,麺,warm,3,2,false,true,https://i.ytimg.com/vi/DrFfaqFtTq8/maxresdefault.jpg,6.0,5.8,ややがっつり
[SUB]【料理ドラマ】『ひとりごとエプロン』第1話：一人暮らしのキッチンでつくる、簡単じゃがいもグラタン 2019クリスマスイブ公開/レシピ/音楽,youtube,mJeRHRoOuI8,https://www.youtube.com/watch?v=mJeRHRoOuI8,mJeRHRoOuI8,https://www.youtube.com/watch?v=mJeRHRoOuI8,北欧、暮らしの道具店,normal,貝、じゃが芋,light,2,YouTube Data API収集,"shellfish,potato",魚介;根菜,warm,3,2,true,true,https://i.ytimg.com/vi/mJeRHRoOuI8/maxresdefault.jpg,3.65,3.89,あっさり
【16日/100日】安くておいしすぎリピ確なので、市販のカレールーには戻れない、、！#一人暮らし#自炊 #夜ご飯,youtube,k1CE55lUvcI,https://www.youtube.com/watch?v=k1CE55lUvcI,k1CE55lUvcI,https://www.youtube.com/watch?v=k1CE55lUvcI,しょーるーむ🌙(shoroom),normal,カレールゥ,rich,2,YouTube Data API収集,curry_roux,チーズ・バター・マヨ系,warm,3,2,false,true,https://i.ytimg.com/vi/k1CE55lUvcI/maxresdefault.jpg,10.0,7.7,がっつり
蒙古タンメン風つけ麺🍜 #節約レシピ #cooking #時短節約 #一人暮らしごはん #暮らしチャンネル #料理 #つけ麺 #簡単レシピ #辛いラーメン,youtube,FYsyAoOvSa8,https://www.youtube.com/watch?v=FYsyAoOvSa8,FYsyAoOvSa8,https://www.youtube.com/watch?v=FYsyAoOvSa8,しゅう | 22時からつくる節約レシピ,normal,ラーメン,semi-rich,2,YouTube Data API収集,ramen,麺,warm,3,2,false,true,https://i.ytimg.com/vi/FYsyAoOvSa8/maxresdefault.jpg,6.0,5.3,ややがっつり
和風塩昆布ツナパスタ🍝#節約レシピ #パスタ #時短節約 #一人暮らしごはん #cooking #暮らしチャンネル #料理 #簡単レシピ #ツナマヨ #塩昆布,youtube,AvAn0DhbofA,https://www.youtube.com/watch?v=AvAn0DhbofA,AvAn0DhbofA,https://www.youtube.com/watch?v=AvAn0DhbofA,しゅう | 22時からつくる節約レシピ,normal,ツナ、パスタ、昆布、マヨネーズ,rich,4,YouTube Data API収集,"canned_tuna,pasta,kombu,mayonnaise",魚介;麺;葉物野菜;チーズ・バター・マヨ系,warm,3,2,false,true,https://i.ytimg.com/vi/AvAn0DhbofA/maxresdefault.jpg,6.67,6.9,がっつり
