メニュー,platform,external_id,video_url,video_id,動画URL,投稿者,時間,食材,味,油感,特徴,詳細食材タグ,ingredient_categories,temperature,effort,dishes,knife,heat,thumbnail_url,ingredient_score,richness_score,taste_level
しっとりささみに濃い味が染み込んでご飯が止まらない「ささみの旨だれ漬け」詳しいレシピは概要欄をチェック！ #レンジ #ささみレシピ,youtube,Y5rl69pcQ6s,https://www.youtube.com/watch?v=Y5rl69pcQ6s,Y5rl69pcQ6s,https://www.youtube.com/watch?v=Y5rl69pcQ6s,デリッシュキッチン,easy,鶏肉、豆腐、ビーフン・フォー、ネギ、にんにく,light,2,YouTube Data API収集,"chicken,tofu,rice_noodles,green_onion,garlic",鶏肉;豆腐・大豆系;麺;葉物野菜;根菜,cold,3,2,true,true,https://i.ytimg.com/vi/Y5rl69pcQ6s/maxresdefault.jpg,4.46,4.28,あっさり
今でもずっと箸が止まっていません🥢【こんにゃくの柚子胡椒ステーキ】詳しいレシピは概要欄をチェック！#料理 #おつまみ #簡単レシピ #こんにゃく #おうちごはん,youtube,Ix9QY9B9VDQ,https://www.youtube.com/watch?v=Ix9QY9B9VDQ,Ix9QY9B9VDQ,https://www.youtube.com/watch?v=Ix9QY9B9VDQ,デリッシュキッチン,easy,ネギ、こんにゃく,light,2,YouTube Data API収集,"green_onion,konnyaku",葉物野菜;根菜,warm,3,2,true,true,https://i.ytimg.com/vi/Ix9QY9B9VDQ/maxresdefault.jpg,2.3,2.98,あっさり
たった6分！卵とウィンナーさえあれば作れる簡単最強おかず。ご飯がススミすぎる『卵とウィンナーの炒め物』の作り方,youtube,18Dwyc3r5Fk,https://www.youtube.com/watch?v=18Dwyc3r5Fk,18Dwyc3r5Fk,https://www.youtube.com/watch?v=18Dwyc3r5Fk,だれウマ【料理研究家】,easy,卵、マヨネーズ,rich,4,YouTube Data API収集,"egg,mayonnaise",卵;チーズ・バター・マヨ系,warm,3,2,false,true,https://i.ytimg.com/vi/18Dwyc3r5Fk/sddefault.jpg,8.25,8.15,がっつり
茄子チーズ焼き🧀🍆#簡単レシピ #料理 #茄子 #チーズ #cooking #夏 #ごはん #レシピ #時短レシピ #夏休み,youtube,5F3BQvzqeX4,https://www.youtube.com/watch?v=5F3BQvzqeX4,5F3BQvzqeX4,https://www.youtube.com/watch?v=5F3BQvzqeX4,りな おうちでごちそう:ワンパンレシピ,normal,チーズ,rich,4,YouTube Data API収集,cheese,チーズ・バター・マヨ系,warm,3,2,false,true,https://i.ytimg.com/vi/5F3BQvzqeX4/maxresdefault.jpg,10.0,8.9,がっつり
【豆腐キムチチヂミ】#shorts #cooking #ダイエット #ヘルシー #レシピ #簡単レシピ,youtube,3r3yZTTVkkQ,https://www.youtube.com/watch?v=3r3yZTTVkkQ,3r3yZTTVkkQ,https://www.youtube.com/watch?v=3r3yZTTVkkQ,ゆき【15kg痩せたダイエットレシピ】,normal,豆腐,light,2,YouTube Data API収集,tofu,豆腐・大豆系,warm,3,2,false,true,https://i.ytimg.com/vi/3r3yZTTVkkQ/maxresdefault.jpg,3.0,3.3,あっさり
【ダイエットおやつ🔥】レンジで簡単！ポテチの作り方 #太らない #ヘルシーレシピ,youtube,ZPua34VwMiY,https://www.youtube.com/watch?v=ZPua34VwMiY,ZPua34VwMiY,https://www.youtube.com/watch?v=ZPua34VwMiY,shiro🐏健康レシピ,easy,じゃが芋、チーズ,rich,4,YouTube Data API収集,"potato,cheese",根菜;チーズ・バター・マヨ系,warm,3,2,true,true,https://i.ytimg.com/vi/ZPua34VwMiY/maxresdefault.jpg,7.55,7.43,がっつり
【これ作ってみて】豚こま丸めて焼いたら美味しすぎて悶絶。レシピはコメント欄へ📍#レシピ #japanesefood #お弁当 #簡単レシピ,youtube,TgIlxarViz8,https://www.youtube.com/watch?v=TgIlxarViz8,TgIlxarViz8,https://www.youtube.com/watch?v=TgIlxarViz8,まみ(mami) ラクうまごはん,normal,豚肉、白身魚,semi-rich,2,YouTube Data API収集,"pork,whitefish",肉類;魚介,warm,3,2,true,true,https://i.ytimg.com/vi/TgIlxarViz8/maxresdefault.jpg,6.6,5.66,ややがっつり
自宅で簡単、コク旨ナポリタンです！#shorts #簡単レシピ #ナポリタン,youtube,R9w9cGAXcLA,https://www.youtube.com/watch?v=R9w9cGAXcLA,R9w9cGAXcLA,https://www.youtube.com/watch?v=R9w9cGAXcLA,パパっとdish,normal,パスタ,semi-rich,2,YouTube Data API収集,pasta,麺,warm,3,2,false,true,https://i.ytimg.com/vi/R9w9cGAXcLA/maxresdefault.jpg,6.0,5.3,ややがっつり
【調理時間2分】最強丼の作り方！#料理 #料理動画 #自炊 #時短レシピ #簡単レシピ #ズボラ飯 #japan #cooking,youtube,Mk7_uXvcxao,https://www.youtube.com/watch?v=Mk7_uXvcxao,Mk7_uXvcxao,https://www.youtube.com/watch?v=Mk7_uXvcxao,だんぼ【簡単飯を作る限界サラリーマン】,easy,ご飯・米,semi-light,2,YouTube Data API収集,rice,米,warm,1,1,false,true,https://i.ytimg.com/vi/Mk7_uXvcxao/maxresdefault.jpg,6.0,5.2,ややあっさり
【茄子ピーマン玉ねぎ簡単レシピ】炒めるだけ！おつまみ副菜おかず余り物が無敵になるワンパンレシピ,youtube,EAMM5WHC1oc,https://www.youtube.com/watch?v=EAMM5WHC1oc,EAMM5WHC1oc,https://www.youtube.com/watch?v=EAMM5WHC1oc,ちゃらりんこクック,normal,鶏肉、中華麺、キャベツ、きゅうり、にら、ネギ、なす、ピーマン、ゴーヤ、玉ねぎ,semi-light,3,YouTube Data API収集,"chicken,noodles,cabbage,cucumber,nira,green_onion,eggplant,bell_pepper,bitter_melon,onion",鶏肉;麺;葉物野菜;根菜,warm,4,3,true,true,https://i.ytimg.com/vi/EAMM5WHC1oc/maxresdefault.jpg,4.6,5.06,ややあっさり
