video_id,title,video_url,creator,current_ingredients,current_tags,current_time,current_temperature,current_knife,current_heat,audit_category,correct_ingredients,correct_time,correct_temperature,correct_knife,correct_heat,reviewer,reviewed_at,review_status,notes
bUrAt9QylSs,鶏肉なしでこの美味しさ!【玉ねぎと卵だけ!のたまご丼】の作り方/王道の甘じょっばい味がいい♪,https://www.youtube.com/watch?v=bUrAt9QylSs,つぶあんの簡単ゆったりクッキング,鶏肉、卵、ご飯・米、ネギ、玉ねぎ,"chicken,egg,rice,green_onion,onion",easy,warm,true,true,根菜,,,,,,,,unreviewed,
y3orqlR3f4o,スーパーの値引きされたトンカツで絶品ズボラカツ丼,https://www.youtube.com/watch?v=y3orqlR3f4o,ハマごはん【お手軽レシピ】,卵、ご飯・米、ネギ、玉ねぎ,"egg,rice,green_onion,onion",easy,warm,true,true,米,,,,,,,,unreviewed,
ge059ZJhfbQ,【スタミナ丼】甘辛で美味しいプロの料理人の作り方,https://www.youtube.com/watch?v=ge059ZJhfbQ,「一品料理」マサちゃんねる,豚肉、卵、ご飯・米、ネギ、ショウガ、にんにく,"pork,egg,rice,green_onion,ginger,garlic",easy,warm,true,true,肉類,,,,,,,,unreviewed,
k8cgRiN4j-4,美味しい豚丼３００円【万能のただならぬタレを是非】小間肉でも極旨です おに豚丼。,https://www.youtube.com/watch?v=k8cgRiN4j-4,くまの限界食堂,ご飯・米、ネギ、ショウガ、にんにく,"rice,green_onion,ginger,garlic",easy,warm,true,true,葉物野菜,,,,,,,,unreviewed,
hvAjs5YyEZw,肉がパサつかない！こんなに柔らかいなんて！【やわらか鶏むね肉のねぎニラまみれ】詳しいレシピは概要欄をチェック！#鶏むね肉 #鶏肉#レシピ動画#簡単レシピ #料理動画,https://www.youtube.com/watch?v=hvAjs5YyEZw,デリッシュキッチン,鶏肉、豆腐、そうめん、にら、ネギ,"chicken,tofu,somen,nira,green_onion",normal,warm,true,true,豆腐・大豆系,,,,,,,,unreviewed,
xoJ5VTF_KdI,【タラと塩昆布のやみつき和風パスタ🐟✨】 #パスタ #時短節約 #料理 #pasta #cooking #自炊 #noodles #food #簡単レシピ,https://www.youtube.com/watch?v=xoJ5VTF_KdI,のどか⌇10分で彼に褒められるパスタ,白身魚、パスタ、ネギ、昆布、にんにく、バター,"whitefish,pasta,green_onion,kombu,garlic,butter",normal,warm,true,true,魚介,,,,,,,,unreviewed,
djX5O9HUHjA,"【節約主婦の本気】予算４,０００円で家族が喜ぶ「５日間の晩ごはん作り」に挑戦した結果｜食費節約/節約レシピ/料理/５人家族",https://www.youtube.com/watch?v=djX5O9HUHjA,リッチじゃない暮らし,牛肉、鶏肉、挽肉、白身魚、豆腐、卵、ラーメン、napa_cabbage、ネギ、もやし、なす、ピーマン、にんじん、かぼちゃ、ショウガ、にんにく、チーズ、バター、マヨネーズ、牛乳、小麦粉,"beef,chicken,minced_meat,whitefish,tofu,egg,ramen,napa_cabbage,green_onion,bean_sprouts,eggplant,bell_pepper,carrot,pumpkin,ginger,garlic,cheese,butter,mayonnaise,milk,flour",normal,warm,true,true,鶏肉,,,,,,,,unreviewed,
_iAn2wKW_Xw,【最高傑作】ついに人生で一番美味しいカルボナーラが完成したから絶対に見てほしい #リュウジ #料理 #shorts,https://www.youtube.com/watch?v=_iAn2wKW_Xw,料理研究家リュウジのバズレシピ,パスタ,pasta,normal,warm,false,true,麺,,,,,,,,unreviewed,
mO-9aQFdABI,絶品中華丼🧑🏻‍🍳#簡単レシピ #中華丼 #給食 #shorts,https://www.youtube.com/watch?v=mO-9aQFdABI,給食の先生ゆりまま,豚肉、ご飯・米、napa_cabbage、ネギ、玉ねぎ、にんじん、しいたけ、ショウガ,"pork,rice,napa_cabbage,green_onion,onion,carrot,shiitake,ginger",easy,warm,true,true,きのこ,,,,,,,,unreviewed,
vVa25bd9Kfw,革命！｜イタリア人に教わった【トマトクリームパスタ】トマトペーストで簡単パスタ#shorts,https://www.youtube.com/watch?v=vVa25bd9Kfw,ファビオ飯 /イタリア料理人の世界,パスタ、トマト、チーズ、バター,"pasta,tomato,cheese,butter",normal,warm,true,true,チーズ・バター・マヨ系,,,,,,,,unreviewed,
